municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,101,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
豊見城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
南部,109,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
沖縄市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
宜野湾市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
浦添市,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
うるま市,11,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
読谷村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
北谷町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
北中城村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
中部,46,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
名護市,20,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
今帰仁村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
本部町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
恩納村,21,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
金武町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
北部,64,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
宮古島市,40,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
宮古,40,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
石垣市,41,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2013
