municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,230,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
糸満市,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
豊見城市,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
八重瀬町,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
南城市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
与那原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
南風原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
南部,253,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
沖縄市,30,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
宜野湾市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
浦添市,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
うるま市,17,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
読谷村,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
嘉手納町,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
北谷町,98,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
北中城村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
中城村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
中部,188,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
名護市,34,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2020
