municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,102,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
豊見城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
南部,110,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
沖縄市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
宜野湾市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
浦添市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
うるま市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
読谷村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
北谷町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
北中城村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
中部,49,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
名護市,19,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
東村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
今帰仁村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
本部町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
恩納村,21,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
金武町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
北部,62,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
宮古島市,44,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
宮古,44,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
石垣市,42,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
竹富町,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
八重山,67,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
久米島町,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
粟国村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
伊江村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
伊平屋村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
伊是名村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
離島,24,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
沖縄県,356,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2014
那覇市,13069,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
糸満市,493,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
豊見城市,268,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
八重瀬町,51,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
南城市,68,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
与那原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
南風原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2014
