municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,173,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
糸満市,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
豊見城市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
南城市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
与那原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
南風原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
南部,191,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
沖縄市,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
宜野湾市,11,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
浦添市,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
うるま市,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
読谷村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
北谷町,26,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
北中城村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
中城村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
中部,92,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
名護市,28,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
今帰仁村,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
本部町,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
恩納村,34,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
宜野座村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
金武町,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
北部,110,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
宮古島市,58,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
宮古,58,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
石垣市,56,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
竹富町,23,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
八重山,86,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
久米島町,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
座間味村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
粟国村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
伊江村,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
伊平屋村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
伊是名村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
離島,24,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
沖縄県,561,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2018
那覇市,16211,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
糸満市,588,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
豊見城市,298,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
八重瀬町,52,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
南城市,165,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
与那原町,24,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
南風原町,36,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
南部,17374,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
沖縄市,829,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
宜野湾市,679,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
浦添市,72,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
うるま市,458,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
読谷村,1064,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
嘉手納町,14,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
北谷町,1798,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
北中城村,319,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
中城村,24,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
西原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
中部,5257,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
名護市,2588,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
国頭村,289,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
大宜味村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
東村,8,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
今帰仁村,216,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
本部町,1067,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
恩納村,4515,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
宜野座村,49,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
金武町,25,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
北部,8757,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
宮古島市,2721,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
多良間村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
宮古,2721,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
石垣市,3501,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
竹富町,830,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
与那国町,141,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
八重山,4472,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
久米島町,446,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
渡嘉敷村,50,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
座間味村,87,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
粟国村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
渡名喜村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
南大東村,72,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
北大東村,23,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
伊江村,96,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
伊平屋村,20,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
伊是名村,39,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
離島,833,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
沖縄県,39414,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2018
那覇市,33059,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
糸満市,1773,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
豊見城市,770,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
八重瀬町,104,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
南城市,646,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
与那原町,52,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
南風原町,80,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2018
