municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,102,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
糸満市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
豊見城市,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
南城市,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
南部,109,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
沖縄市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
宜野湾市,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
浦添市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
うるま市,11,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
読谷村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
北谷町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
北中城村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
西原町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
中部,53,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
名護市,21,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
国頭村,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
今帰仁村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
本部町,10,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
恩納村,17,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
金武町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
北部,60,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
宮古島市,39,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
宮古,39,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
石垣市,44,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
竹富町,15,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
八重山,66,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
久米島町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
粟国村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
伊江村,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
伊平屋村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
伊是名村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
離島,30,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
沖縄県,357,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2010
那覇市,12358,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2010
