municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,106,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
豊見城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
南部,114,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
沖縄市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
宜野湾市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
浦添市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
うるま市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
読谷村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
北谷町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
北中城村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
中部,50,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
名護市,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
東村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
今帰仁村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
本部町,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
恩納村,22,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
金武町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
北部,65,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
宮古島市,43,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
宮古,43,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
石垣市,42,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
竹富町,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
八重山,67,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
久米島町,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
粟国村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
伊江村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
伊平屋村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
伊是名村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
離島,23,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
沖縄県,362,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2015
那覇市,13356,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
糸満市,493,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
豊見城市,272,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
八重瀬町,52,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
南城市,69,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
与那原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
南風原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
南部,14242,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
沖縄市,618,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
宜野湾市,524,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
浦添市,41,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
うるま市,379,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
読谷村,1049,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
嘉手納町,14,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
北谷町,917,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
北中城村,317,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
中城村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
西原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
中部,3859,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
名護市,2261,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
国頭村,303,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
大宜味村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
東村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
今帰仁村,135,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2015
