municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,193.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
糸満市,8.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
豊見城市,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
八重瀬町,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
南城市,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
与那原町,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
南風原町,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
南部,214.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
沖縄市,32.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
宜野湾市,13.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
浦添市,9.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
うるま市,19.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
読谷村,10.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
嘉手納町,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
北谷町,74.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
北中城村,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
中城村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
西原町,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
中部,166.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
名護市,33.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
国頭村,8.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
大宜味村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
東村,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
今帰仁村,16.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
本部町,23.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
恩納村,44.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
宜野座村,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
金武町,3.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
北部,133.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
宮古島市,61.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
多良間村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
宮古,61.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
石垣市,69.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
竹富町,22.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
与那国町,7.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
八重山,98.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
久米島町,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
渡嘉敷村,3.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
座間味村,7.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
粟国村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
渡名喜村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
南大東村,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
北大東村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
伊江村,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
伊平屋村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
伊是名村,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
離島,28.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
沖縄県,700.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2019
那覇市,17379.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
糸満市,596.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
豊見城市,334.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
八重瀬町,52.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
南城市,269.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
与那原町,24.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
南風原町,36.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
南部,18690.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
沖縄市,1049.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
宜野湾市,710.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
浦添市,107.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
うるま市,597.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
読谷村,1125.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
嘉手納町,49.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
北谷町,1967.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
北中城村,339.0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2019
