municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,100.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
糸満市,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
豊見城市,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
八重瀬町,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
南城市,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
与那原町,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
南風原町,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
南部,108.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
沖縄市,13.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
宜野湾市,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
浦添市,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
うるま市,12.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
読谷村,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
嘉手納町,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
北谷町,8.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
北中城村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
中城村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
西原町,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
中部,46.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
名護市,20.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
国頭村,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
大宜味村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
東村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
今帰仁村,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
本部町,8.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
恩納村,17.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
宜野座村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
金武町,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
北部,54.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
宮古島市,38.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
多良間村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
宮古,38.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
石垣市,46.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
竹富町,15.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
与那国町,8.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
八重山,69.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
久米島町,6.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
渡嘉敷村,3.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
座間味村,3.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
粟国村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
渡名喜村,0.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
南大東村,2.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
北大東村,1.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
伊江村,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
伊平屋村,4.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
伊是名村,5.0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2009
