municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,92,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
豊見城市,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
南部,98,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
沖縄市,13,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
宜野湾市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
浦添市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
うるま市,11,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
読谷村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
嘉手納町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
北谷町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
北中城村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
西原町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
中部,47,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
名護市,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
今帰仁村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
本部町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
恩納村,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
金武町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
北部,54,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
宮古島市,34,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
宮古,34,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
石垣市,43,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
竹富町,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
与那国町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
八重山,67,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
久米島町,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
渡嘉敷村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
粟国村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
伊江村,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
伊平屋村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
伊是名村,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
離島,29,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
沖縄県,329,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2007
那覇市,10837,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
糸満市,61,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
豊見城市,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
八重瀬町,51,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
南城市,110,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
与那原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
南風原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2007
