year,city,metric,cat1,cat2,table,value
2022,うるま市,capacity,business_hotel_large,,hotel_breakdown,0
2022,うるま市,capacity,business_hotel_medium,,hotel_breakdown,124
2022,うるま市,capacity,business_hotel_small,,hotel_breakdown,558
2022,うるま市,capacity,city_hotel_large,,hotel_breakdown,0
2022,うるま市,capacity,city_hotel_medium,,hotel_breakdown,0
2022,うるま市,capacity,city_hotel_small,,hotel_breakdown,0
2022,うるま市,capacity,resort_hotel_large,,hotel_breakdown,692
2022,うるま市,capacity,resort_hotel_medium,,hotel_breakdown,374
2022,うるま市,capacity,resort_hotel_small,,hotel_breakdown,14
2022,うるま市,capacity,ryokan_large,,hotel_breakdown,0
2022,うるま市,capacity,ryokan_medium,,hotel_breakdown,0
2022,うるま市,capacity,ryokan_small,,hotel_breakdown,39
2022,うるま市,capacity,total,,hotel_breakdown,1801
2022,うるま市,facilities,business_hotel_large,,hotel_breakdown,0
2022,うるま市,facilities,business_hotel_medium,,hotel_breakdown,1
2022,うるま市,facilities,business_hotel_small,,hotel_breakdown,15
2022,うるま市,facilities,city_hotel_large,,hotel_breakdown,0
2022,うるま市,facilities,city_hotel_medium,,hotel_breakdown,0
2022,うるま市,facilities,city_hotel_small,,hotel_breakdown,0
2022,うるま市,facilities,resort_hotel_large,,hotel_breakdown,2
2022,うるま市,facilities,resort_hotel_medium,,hotel_breakdown,2
2022,うるま市,facilities,resort_hotel_small,,hotel_breakdown,1
2022,うるま市,facilities,ryokan_large,,hotel_breakdown,0
2022,うるま市,facilities,ryokan_medium,,hotel_breakdown,0
2022,うるま市,facilities,ryokan_small,,hotel_breakdown,1
2022,うるま市,facilities,total,,hotel_breakdown,22
2022,うるま市,rooms,business_hotel_large,,hotel_breakdown,0
2022,うるま市,rooms,business_hotel_medium,,hotel_breakdown,48
2022,うるま市,rooms,business_hotel_small,,hotel_breakdown,217
2022,うるま市,rooms,city_hotel_large,,hotel_breakdown,0
2022,うるま市,rooms,city_hotel_medium,,hotel_breakdown,0
2022,うるま市,rooms,city_hotel_small,,hotel_breakdown,0
2022,うるま市,rooms,resort_hotel_large,,hotel_breakdown,188
2022,うるま市,rooms,resort_hotel_medium,,hotel_breakdown,155
2022,うるま市,rooms,resort_hotel_small,,hotel_breakdown,6
2022,うるま市,rooms,ryokan_large,,hotel_breakdown,0
2022,うるま市,rooms,ryokan_medium,,hotel_breakdown,0
2022,うるま市,rooms,ryokan_small,,hotel_breakdown,12
2022,うるま市,rooms,total,,hotel_breakdown,626
2022,与那原町,capacity,business_hotel_large,,hotel_breakdown,0
2022,与那原町,capacity,business_hotel_medium,,hotel_breakdown,0
2022,与那原町,capacity,business_hotel_small,,hotel_breakdown,20
2022,与那原町,capacity,city_hotel_large,,hotel_breakdown,0
2022,与那原町,capacity,city_hotel_medium,,hotel_breakdown,0
2022,与那原町,capacity,city_hotel_small,,hotel_breakdown,0
2022,与那原町,capacity,resort_hotel_large,,hotel_breakdown,0
2022,与那原町,capacity,resort_hotel_medium,,hotel_breakdown,0
2022,与那原町,capacity,resort_hotel_small,,hotel_breakdown,0
2022,与那原町,capacity,ryokan_large,,hotel_breakdown,0
2022,与那原町,capacity,ryokan_medium,,hotel_breakdown,0
2022,与那原町,capacity,ryokan_small,,hotel_breakdown,0
2022,与那原町,capacity,total,,hotel_breakdown,20
2022,与那原町,facilities,business_hotel_large,,hotel_breakdown,0
2022,与那原町,facilities,business_hotel_medium,,hotel_breakdown,0
2022,与那原町,facilities,business_hotel_small,,hotel_breakdown,1
2022,与那原町,facilities,city_hotel_large,,hotel_breakdown,0
2022,与那原町,facilities,city_hotel_medium,,hotel_breakdown,0
2022,与那原町,facilities,city_hotel_small,,hotel_breakdown,0
2022,与那原町,facilities,resort_hotel_large,,hotel_breakdown,0
2022,与那原町,facilities,resort_hotel_medium,,hotel_breakdown,0
2022,与那原町,facilities,resort_hotel_small,,hotel_breakdown,0
2022,与那原町,facilities,ryokan_large,,hotel_breakdown,0
2022,与那原町,facilities,ryokan_medium,,hotel_breakdown,0
2022,与那原町,facilities,ryokan_small,,hotel_breakdown,0
2022,与那原町,facilities,total,,hotel_breakdown,1
2022,与那原町,rooms,business_hotel_large,,hotel_breakdown,0
2022,与那原町,rooms,business_hotel_medium,,hotel_breakdown,0
2022,与那原町,rooms,business_hotel_small,,hotel_breakdown,9
2022,与那原町,rooms,city_hotel_large,,hotel_breakdown,0
2022,与那原町,rooms,city_hotel_medium,,hotel_breakdown,0
2022,与那原町,rooms,city_hotel_small,,hotel_breakdown,0
2022,与那原町,rooms,resort_hotel_large,,hotel_breakdown,0
2022,与那原町,rooms,resort_hotel_medium,,hotel_breakdown,0
2022,与那原町,rooms,resort_hotel_small,,hotel_breakdown,0
2022,与那原町,rooms,ryokan_large,,hotel_breakdown,0
2022,与那原町,rooms,ryokan_medium,,hotel_breakdown,0
2022,与那原町,rooms,ryokan_small,,hotel_breakdown,0
2022,与那原町,rooms,total,,hotel_breakdown,9
2022,与那国町,capacity,business_hotel_large,,hotel_breakdown,0
2022,与那国町,capacity,business_hotel_medium,,hotel_breakdown,0
2022,与那国町,capacity,business_hotel_small,,hotel_breakdown,81
2022,与那国町,capacity,city_hotel_large,,hotel_breakdown,0
2022,与那国町,capacity,city_hotel_medium,,hotel_breakdown,249
2022,与那国町,capacity,city_hotel_small,,hotel_breakdown,0
2022,与那国町,capacity,resort_hotel_large,,hotel_breakdown,0
2022,与那国町,capacity,resort_hotel_medium,,hotel_breakdown,0
2022,与那国町,capacity,resort_hotel_small,,hotel_breakdown,0
2022,与那国町,capacity,ryokan_large,,hotel_breakdown,0
2022,与那国町,capacity,ryokan_medium,,hotel_breakdown,0
2022,与那国町,capacity,ryokan_small,,hotel_breakdown,78
2022,与那国町,capacity,total,,hotel_breakdown,408
2022,与那国町,facilities,business_hotel_large,,hotel_breakdown,0
2022,与那国町,facilities,business_hotel_medium,,hotel_breakdown,0
2022,与那国町,facilities,business_hotel_small,,hotel_breakdown,3
2022,与那国町,facilities,city_hotel_large,,hotel_breakdown,0
2022,与那国町,facilities,city_hotel_medium,,hotel_breakdown,1
