year,city,metric,cat1,cat2,table,value
2019,うるま市,capacity,business_hotel_large,,hotel_breakdown,0
2019,うるま市,capacity,business_hotel_medium,,hotel_breakdown,278
2019,うるま市,capacity,business_hotel_small,,hotel_breakdown,410
2019,うるま市,capacity,city_hotel_large,,hotel_breakdown,0
2019,うるま市,capacity,city_hotel_medium,,hotel_breakdown,0
2019,うるま市,capacity,city_hotel_small,,hotel_breakdown,0
2019,うるま市,capacity,resort_hotel_large,,hotel_breakdown,692
2019,うるま市,capacity,resort_hotel_medium,,hotel_breakdown,374
2019,うるま市,capacity,resort_hotel_small,,hotel_breakdown,0
2019,うるま市,capacity,ryokan_large,,hotel_breakdown,0
2019,うるま市,capacity,ryokan_medium,,hotel_breakdown,0
2019,うるま市,capacity,ryokan_small,,hotel_breakdown,50
2019,うるま市,capacity,total,,hotel_breakdown,1804
2019,うるま市,facilities,business_hotel_large,,hotel_breakdown,0
2019,うるま市,facilities,business_hotel_medium,,hotel_breakdown,2
2019,うるま市,facilities,business_hotel_small,,hotel_breakdown,11
2019,うるま市,facilities,city_hotel_large,,hotel_breakdown,0
2019,うるま市,facilities,city_hotel_medium,,hotel_breakdown,0
2019,うるま市,facilities,city_hotel_small,,hotel_breakdown,0
2019,うるま市,facilities,resort_hotel_large,,hotel_breakdown,2
2019,うるま市,facilities,resort_hotel_medium,,hotel_breakdown,2
2019,うるま市,facilities,resort_hotel_small,,hotel_breakdown,0
2019,うるま市,facilities,ryokan_large,,hotel_breakdown,0
2019,うるま市,facilities,ryokan_medium,,hotel_breakdown,0
2019,うるま市,facilities,ryokan_small,,hotel_breakdown,2
2019,うるま市,facilities,total,,hotel_breakdown,19
2019,うるま市,rooms,business_hotel_large,,hotel_breakdown,0
2019,うるま市,rooms,business_hotel_medium,,hotel_breakdown,71
2019,うるま市,rooms,business_hotel_small,,hotel_breakdown,166
2019,うるま市,rooms,city_hotel_large,,hotel_breakdown,0
2019,うるま市,rooms,city_hotel_medium,,hotel_breakdown,0
2019,うるま市,rooms,city_hotel_small,,hotel_breakdown,0
2019,うるま市,rooms,resort_hotel_large,,hotel_breakdown,188
2019,うるま市,rooms,resort_hotel_medium,,hotel_breakdown,155
2019,うるま市,rooms,resort_hotel_small,,hotel_breakdown,0
2019,うるま市,rooms,ryokan_large,,hotel_breakdown,0
2019,うるま市,rooms,ryokan_medium,,hotel_breakdown,0
2019,うるま市,rooms,ryokan_small,,hotel_breakdown,17
2019,うるま市,rooms,total,,hotel_breakdown,597
2019,与那原町,capacity,business_hotel_large,,hotel_breakdown,0
2019,与那原町,capacity,business_hotel_medium,,hotel_breakdown,0
2019,与那原町,capacity,business_hotel_small,,hotel_breakdown,52
2019,与那原町,capacity,city_hotel_large,,hotel_breakdown,0
2019,与那原町,capacity,city_hotel_medium,,hotel_breakdown,0
2019,与那原町,capacity,city_hotel_small,,hotel_breakdown,0
2019,与那原町,capacity,resort_hotel_large,,hotel_breakdown,0
2019,与那原町,capacity,resort_hotel_medium,,hotel_breakdown,0
2019,与那原町,capacity,resort_hotel_small,,hotel_breakdown,0
2019,与那原町,capacity,ryokan_large,,hotel_breakdown,0
2019,与那原町,capacity,ryokan_medium,,hotel_breakdown,0
2019,与那原町,capacity,ryokan_small,,hotel_breakdown,0
2019,与那原町,capacity,total,,hotel_breakdown,52
2019,与那原町,facilities,business_hotel_large,,hotel_breakdown,0
2019,与那原町,facilities,business_hotel_medium,,hotel_breakdown,0
2019,与那原町,facilities,business_hotel_small,,hotel_breakdown,1
2019,与那原町,facilities,city_hotel_large,,hotel_breakdown,0
2019,与那原町,facilities,city_hotel_medium,,hotel_breakdown,0
2019,与那原町,facilities,city_hotel_small,,hotel_breakdown,0
2019,与那原町,facilities,resort_hotel_large,,hotel_breakdown,0
2019,与那原町,facilities,resort_hotel_medium,,hotel_breakdown,0
2019,与那原町,facilities,resort_hotel_small,,hotel_breakdown,0
2019,与那原町,facilities,ryokan_large,,hotel_breakdown,0
2019,与那原町,facilities,ryokan_medium,,hotel_breakdown,0
2019,与那原町,facilities,ryokan_small,,hotel_breakdown,0
2019,与那原町,facilities,total,,hotel_breakdown,1
2019,与那原町,rooms,business_hotel_large,,hotel_breakdown,0
2019,与那原町,rooms,business_hotel_medium,,hotel_breakdown,0
2019,与那原町,rooms,business_hotel_small,,hotel_breakdown,24
2019,与那原町,rooms,city_hotel_large,,hotel_breakdown,0
2019,与那原町,rooms,city_hotel_medium,,hotel_breakdown,0
2019,与那原町,rooms,city_hotel_small,,hotel_breakdown,0
2019,与那原町,rooms,resort_hotel_large,,hotel_breakdown,0
2019,与那原町,rooms,resort_hotel_medium,,hotel_breakdown,0
2019,与那原町,rooms,resort_hotel_small,,hotel_breakdown,0
2019,与那原町,rooms,ryokan_large,,hotel_breakdown,0
2019,与那原町,rooms,ryokan_medium,,hotel_breakdown,0
2019,与那原町,rooms,ryokan_small,,hotel_breakdown,0
2019,与那原町,rooms,total,,hotel_breakdown,24
2019,与那国町,capacity,business_hotel_large,,hotel_breakdown,0
2019,与那国町,capacity,business_hotel_medium,,hotel_breakdown,0
2019,与那国町,capacity,business_hotel_small,,hotel_breakdown,81
2019,与那国町,capacity,city_hotel_large,,hotel_breakdown,0
2019,与那国町,capacity,city_hotel_medium,,hotel_breakdown,249
2019,与那国町,capacity,city_hotel_small,,hotel_breakdown,0
2019,与那国町,capacity,resort_hotel_large,,hotel_breakdown,0
2019,与那国町,capacity,resort_hotel_medium,,hotel_breakdown,0
2019,与那国町,capacity,resort_hotel_small,,hotel_breakdown,0
2019,与那国町,capacity,ryokan_large,,hotel_breakdown,0
2019,与那国町,capacity,ryokan_medium,,hotel_breakdown,0
2019,与那国町,capacity,ryokan_small,,hotel_breakdown,62
2019,与那国町,capacity,total,,hotel_breakdown,392
2019,与那国町,facilities,business_hotel_large,,hotel_breakdown,0
2019,与那国町,facilities,business_hotel_medium,,hotel_breakdown,0
2019,与那国町,facilities,business_hotel_small,,hotel_breakdown,3
2019,与那国町,facilities,city_hotel_large,,hotel_breakdown,0
2019,与那国町,facilities,city_hotel_medium,,hotel_breakdown,1
2019,与那国町,facilities,city_hotel_small,,hotel_breakdown,0
2019,与那国町,facilities,resort_hotel_large,,hotel_breakdown,0
2019,与那国町,facilities,resort_hotel_medium,,hotel_breakdown,0
2019,与那国町,facilities,resort_hotel_small,,hotel_breakdown,0
2019,与那国町,facilities,ryokan_large,,hotel_breakdown,0
2019,与那国町,facilities,ryokan_medium,,hotel_breakdown,0
2019,与那国町,facilities,ryokan_small,,hotel_breakdown,3
2019,与那国町,facilities,total,,hotel_breakdown,7
2019,与那国町,rooms,business_hotel_large,,hotel_breakdown,0
2019,与那国町,rooms,business_hotel_medium,,hotel_breakdown,0
2019,与那国町,rooms,business_hotel_small,,hotel_breakdown,36
2019,与那国町,rooms,city_hotel_large,,hotel_breakdown,0
2019,与那国町,rooms,city_hotel_medium,,hotel_breakdown,77
2019,与那国町,rooms,city_hotel_small,,hotel_breakdown,0
2019,与那国町,rooms,resort_hotel_large,,hotel_breakdown,0
2019,与那国町,rooms,resort_hotel_medium,,hotel_breakdown,0
2019,与那国町,rooms,resort_hotel_small,,hotel_breakdown,0
2019,与那国町,rooms,ryokan_large,,hotel_breakdown,0
2019,与那国町,rooms,ryokan_medium,,hotel_breakdown,0
2019,与那国町,rooms,ryokan_small,,hotel_breakdown,30
2019,与那国町,rooms,total,,hotel_breakdown,143
2019,中城村,capacity,business_hotel_large,,hotel_breakdown,0
2019,中城村,capacity,business_hotel_medium,,hotel_breakdown,0
2019,中城村,capacity,business_hotel_small,,hotel_breakdown,48
2019,中城村,capacity,city_hotel_large,,hotel_breakdown,0
2019,中城村,capacity,city_hotel_medium,,hotel_breakdown,0
2019,中城村,capacity,city_hotel_small,,hotel_breakdown,0
2019,中城村,capacity,resort_hotel_large,,hotel_breakdown,0
2019,中城村,capacity,resort_hotel_medium,,hotel_breakdown,0
2019,中城村,capacity,resort_hotel_small,,hotel_breakdown,0
2019,中城村,capacity,ryokan_large,,hotel_breakdown,0
2019,中城村,capacity,ryokan_medium,,hotel_breakdown,0
2019,中城村,capacity,ryokan_small,,hotel_breakdown,0
2019,中城村,capacity,total,,hotel_breakdown,48
2019,中城村,facilities,business_hotel_large,,hotel_breakdown,0
2019,中城村,facilities,business_hotel_medium,,hotel_breakdown,0
2019,中城村,facilities,business_hotel_small,,hotel_breakdown,1
2019,中城村,facilities,city_hotel_large,,hotel_breakdown,0
2019,中城村,facilities,city_hotel_medium,,hotel_breakdown,0
2019,中城村,facilities,city_hotel_small,,hotel_breakdown,0
2019,中城村,facilities,resort_hotel_large,,hotel_breakdown,0
2019,中城村,facilities,resort_hotel_medium,,hotel_breakdown,0
2019,中城村,facilities,resort_hotel_small,,hotel_breakdown,0
2019,中城村,facilities,ryokan_large,,hotel_breakdown,0
2019,中城村,facilities,ryokan_medium,,hotel_breakdown,0
2019,中城村,facilities,ryokan_small,,hotel_breakdown,0
2019,中城村,facilities,total,,hotel_breakdown,1
2019,中城村,rooms,business_hotel_large,,hotel_breakdown,0
2019,中城村,rooms,business_hotel_medium,,hotel_breakdown,0
2019,中城村,rooms,business_hotel_small,,hotel_breakdown,24
2019,中城村,rooms,city_hotel_large,,hotel_breakdown,0
2019,中城村,rooms,city_hotel_medium,,hotel_breakdown,0
2019,中城村,rooms,city_hotel_small,,hotel_breakdown,0
2019,中城村,rooms,resort_hotel_large,,hotel_breakdown,0
2019,中城村,rooms,resort_hotel_medium,,hotel_breakdown,0
2019,中城村,rooms,resort_hotel_small,,hotel_breakdown,0
2019,中城村,rooms,ryokan_large,,hotel_breakdown,0
2019,中城村,rooms,ryokan_medium,,hotel_breakdown,0
2019,中城村,rooms,ryokan_small,,hotel_breakdown,0
2019,中城村,rooms,total,,hotel_breakdown,24
2019,中部,capacity,business_hotel_large,,hotel_breakdown,0
2019,中部,capacity,business_hotel_medium,,hotel_breakdown,2435
2019,中部,capacity,business_hotel_small,,hotel_breakdown,3464
2019,中部,capacity,city_hotel_large,,hotel_breakdown,0
2019,中部,capacity,city_hotel_medium,,hotel_breakdown,0
2019,中部,capacity,city_hotel_small,,hotel_breakdown,60
2019,中部,capacity,resort_hotel_large,,hotel_breakdown,9847
2019,中部,capacity,resort_hotel_medium,,hotel_breakdown,1497
2019,中部,capacity,resort_hotel_small,,hotel_breakdown,126
2019,中部,capacity,ryokan_large,,hotel_breakdown,0
2019,中部,capacity,ryokan_medium,,hotel_breakdown,0
2019,中部,capacity,ryokan_small,,hotel_breakdown,50
2019,中部,capacity,total,,hotel_breakdown,17479
2019,中部,facilities,business_hotel_large,,hotel_breakdown,0
2019,中部,facilities,business_hotel_medium,,hotel_breakdown,16
2019,中部,facilities,business_hotel_small,,hotel_breakdown,122
2019,中部,facilities,city_hotel_large,,hotel_breakdown,0
2019,中部,facilities,city_hotel_medium,,hotel_breakdown,0
2019,中部,facilities,city_hotel_small,,hotel_breakdown,1
2019,中部,facilities,resort_hotel_large,,hotel_breakdown,14
2019,中部,facilities,resort_hotel_medium,,hotel_breakdown,9
2019,中部,facilities,resort_hotel_small,,hotel_breakdown,2
2019,中部,facilities,ryokan_large,,hotel_breakdown,0
2019,中部,facilities,ryokan_medium,,hotel_breakdown,0
2019,中部,facilities,ryokan_small,,hotel_breakdown,2
2019,中部,facilities,total,,hotel_breakdown,166
2019,中部,rooms,business_hotel_large,,hotel_breakdown,0
2019,中部,rooms,business_hotel_medium,,hotel_breakdown,690
2019,中部,rooms,business_hotel_small,,hotel_breakdown,1339
2019,中部,rooms,city_hotel_large,,hotel_breakdown,0
2019,中部,rooms,city_hotel_medium,,hotel_breakdown,0
2019,中部,rooms,city_hotel_small,,hotel_breakdown,29
2019,中部,rooms,resort_hotel_large,,hotel_breakdown,3352
2019,中部,rooms,resort_hotel_medium,,hotel_breakdown,501
2019,中部,rooms,resort_hotel_small,,hotel_breakdown,39
2019,中部,rooms,ryokan_large,,hotel_breakdown,0
2019,中部,rooms,ryokan_medium,,hotel_breakdown,0
2019,中部,rooms,ryokan_small,,hotel_breakdown,17
2019,中部,rooms,total,,hotel_breakdown,5967
2019,久米島町,capacity,business_hotel_large,,hotel_breakdown,0
2019,久米島町,capacity,business_hotel_medium,,hotel_breakdown,214
2019,久米島町,capacity,business_hotel_small,,hotel_breakdown,0
2019,久米島町,capacity,city_hotel_large,,hotel_breakdown,0
2019,久米島町,capacity,city_hotel_medium,,hotel_breakdown,0
2019,久米島町,capacity,city_hotel_small,,hotel_breakdown,0
2019,久米島町,capacity,resort_hotel_large,,hotel_breakdown,400
2019,久米島町,capacity,resort_hotel_medium,,hotel_breakdown,488
2019,久米島町,capacity,resort_hotel_small,,hotel_breakdown,0
2019,久米島町,capacity,ryokan_large,,hotel_breakdown,0
2019,久米島町,capacity,ryokan_medium,,hotel_breakdown,0
2019,久米島町,capacity,ryokan_small,,hotel_breakdown,0
2019,久米島町,capacity,total,,hotel_breakdown,1102
2019,久米島町,facilities,business_hotel_large,,hotel_breakdown,0
2019,久米島町,facilities,business_hotel_medium,,hotel_breakdown,2
2019,久米島町,facilities,business_hotel_small,,hotel_breakdown,0
2019,久米島町,facilities,city_hotel_large,,hotel_breakdown,0
2019,久米島町,facilities,city_hotel_medium,,hotel_breakdown,0
2019,久米島町,facilities,city_hotel_small,,hotel_breakdown,0
2019,久米島町,facilities,resort_hotel_large,,hotel_breakdown,1
2019,久米島町,facilities,resort_hotel_medium,,hotel_breakdown,2
2019,久米島町,facilities,resort_hotel_small,,hotel_breakdown,0
2019,久米島町,facilities,ryokan_large,,hotel_breakdown,0
2019,久米島町,facilities,ryokan_medium,,hotel_breakdown,0
2019,久米島町,facilities,ryokan_small,,hotel_breakdown,0
2019,久米島町,facilities,total,,hotel_breakdown,5
2019,久米島町,rooms,business_hotel_large,,hotel_breakdown,0
2019,久米島町,rooms,business_hotel_medium,,hotel_breakdown,82
2019,久米島町,rooms,business_hotel_small,,hotel_breakdown,0
2019,久米島町,rooms,city_hotel_large,,hotel_breakdown,0
2019,久米島町,rooms,city_hotel_medium,,hotel_breakdown,0
2019,久米島町,rooms,city_hotel_small,,hotel_breakdown,0
2019,久米島町,rooms,resort_hotel_large,,hotel_breakdown,200
2019,久米島町,rooms,resort_hotel_medium,,hotel_breakdown,164
2019,久米島町,rooms,resort_hotel_small,,hotel_breakdown,0
2019,久米島町,rooms,ryokan_large,,hotel_breakdown,0
2019,久米島町,rooms,ryokan_medium,,hotel_breakdown,0
2019,久米島町,rooms,ryokan_small,,hotel_breakdown,0
2019,久米島町,rooms,total,,hotel_breakdown,446
2019,今帰仁村,capacity,business_hotel_large,,hotel_breakdown,0
2019,今帰仁村,capacity,business_hotel_medium,,hotel_breakdown,0
2019,今帰仁村,capacity,business_hotel_small,,hotel_breakdown,102
2019,今帰仁村,capacity,city_hotel_large,,hotel_breakdown,0
2019,今帰仁村,capacity,city_hotel_medium,,hotel_breakdown,0
2019,今帰仁村,capacity,city_hotel_small,,hotel_breakdown,0
2019,今帰仁村,capacity,resort_hotel_large,,hotel_breakdown,0
2019,今帰仁村,capacity,resort_hotel_medium,,hotel_breakdown,420
2019,今帰仁村,capacity,resort_hotel_small,,hotel_breakdown,163
2019,今帰仁村,capacity,ryokan_large,,hotel_breakdown,0
2019,今帰仁村,capacity,ryokan_medium,,hotel_breakdown,0
2019,今帰仁村,capacity,ryokan_small,,hotel_breakdown,21
2019,今帰仁村,capacity,total,,hotel_breakdown,706
2019,今帰仁村,facilities,business_hotel_large,,hotel_breakdown,0
2019,今帰仁村,facilities,business_hotel_medium,,hotel_breakdown,0
2019,今帰仁村,facilities,business_hotel_small,,hotel_breakdown,6
2019,今帰仁村,facilities,city_hotel_large,,hotel_breakdown,0
2019,今帰仁村,facilities,city_hotel_medium,,hotel_breakdown,0
2019,今帰仁村,facilities,city_hotel_small,,hotel_breakdown,0
2019,今帰仁村,facilities,resort_hotel_large,,hotel_breakdown,0
