municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,265,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
糸満市,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
豊見城市,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
八重瀬町,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
南城市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
与那原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
南風原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
南部,296,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
沖縄市,34,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
宜野湾市,15,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
浦添市,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
うるま市,22,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
読谷村,11,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
嘉手納町,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
北谷町,97,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
北中城村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
中城村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
中部,199,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
名護市,33,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
国頭村,13,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
大宜味村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
東村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
今帰仁村,21,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
本部町,25,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
恩納村,50,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
宜野座村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
金武町,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
北部,153,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
宮古島市,104,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
宮古,104,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
石垣市,81,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
竹富町,24,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
与那国町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
八重山,114,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
久米島町,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
座間味村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
粟国村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
南大東村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
伊江村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
伊平屋村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
伊是名村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
離島,37,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
沖縄県,903,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2022
那覇市,20469,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2022
糸満市,997,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2022
豊見城市,368,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2022
八重瀬町,62,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2022
