municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,106,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
糸満市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
豊見城市,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
南城市,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
南部,113,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
沖縄市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
宜野湾市,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
浦添市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
うるま市,11,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
読谷村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
北谷町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
北中城村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
西原町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
中部,53,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
名護市,21,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
今帰仁村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
本部町,10,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
恩納村,17,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
金武町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
北部,62,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
宮古島市,39,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
宮古,39,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
石垣市,45,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
竹富町,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
八重山,68,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
久米島町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
粟国村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
伊江村,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
伊平屋村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
伊是名村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
離島,30,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
沖縄県,365,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2011
那覇市,12964,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
糸満市,545,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
豊見城市,168,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
八重瀬町,51,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
南城市,53,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
与那原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
南風原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
南部,13781,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
沖縄市,610,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
宜野湾市,565,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
浦添市,42,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
うるま市,373,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
読谷村,1066,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
嘉手納町,16,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
北谷町,475,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
北中城村,214,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
中城村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
西原町,20,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
中部,3381,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
名護市,2250,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
国頭村,297,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
大宜味村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2011
