municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,278,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
糸満市,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
豊見城市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
八重瀬町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
南城市,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
与那原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
南風原町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
南部,300,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
沖縄市,30,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
宜野湾市,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
浦添市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
うるま市,19,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
読谷村,14,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
嘉手納町,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
北谷町,61,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
北中城村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
中城村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
中部,163,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
名護市,45,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
今帰仁村,14,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
本部町,30,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2023
