municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,137,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
糸満市,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
豊見城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
南城市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
南部,150,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
沖縄市,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
宜野湾市,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
浦添市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
うるま市,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
読谷村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
北谷町,13,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
北中城村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
中部,70,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
名護市,24,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
今帰仁村,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
本部町,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
恩納村,28,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
金武町,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
北部,98,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
宮古島市,46,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
宮古,46,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
石垣市,53,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
竹富町,20,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
八重山,80,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
久米島町,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
粟国村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
伊江村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
伊平屋村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
伊是名村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
離島,22,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
沖縄県,466,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2017
那覇市,15300,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
糸満市,573,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
豊見城市,285,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
八重瀬町,52,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
南城市,163,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
与那原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
南風原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
南部,16373,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
沖縄市,770,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
宜野湾市,622,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
浦添市,59,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
うるま市,407,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
読谷村,1103,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
嘉手納町,14,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
北谷町,1175,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
北中城村,325,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
中城村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
西原町,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
中部,4475,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
名護市,2467,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
国頭村,289,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
大宜味村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
東村,20,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
今帰仁村,211,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
本部町,978,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
恩納村,4086,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
宜野座村,30,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
金武町,25,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
北部,8106,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
宮古島市,2432,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
多良間村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
宮古,2432,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
石垣市,3367,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
竹富町,801,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
与那国町,142,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
八重山,4310,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
久米島町,446,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
渡嘉敷村,50,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
座間味村,79,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
粟国村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
渡名喜村,0,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
南大東村,72,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
北大東村,23,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
伊江村,63,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
伊平屋村,20,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
伊是名村,39,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
離島,792,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
沖縄県,36488,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2017
那覇市,30944,hotel_ryokan,capacity,hotel_ryokan,capacity,,accommodation_type,2017
