municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,104,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
豊見城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
南部,112,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
沖縄市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
宜野湾市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
浦添市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
うるま市,10,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
読谷村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
北谷町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
北中城村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
中部,47,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
名護市,22,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
国頭村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
今帰仁村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
本部町,10,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
恩納村,19,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
金武町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
北部,66,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
宮古島市,40,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
宮古,40,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
石垣市,45,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
竹富町,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
八重山,70,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
久米島町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
渡嘉敷村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
座間味村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
粟国村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
渡名喜村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
南大東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
北大東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
伊江村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
伊平屋村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
伊是名村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
離島,29,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
沖縄県,364,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2012
那覇市,13287,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2012
糸満市,493,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2012
豊見城市,272,hotel_ryokan,rooms,hotel_ryokan,rooms,,accommodation_type,2012
