municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,94,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
豊見城市,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
南部,100,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
沖縄市,13,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
宜野湾市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
浦添市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
うるま市,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
読谷村,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
嘉手納町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
北谷町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
北中城村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
西原町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
中部,47,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
名護市,20,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
国頭村,6,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
東村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
今帰仁村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
本部町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
恩納村,17,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
金武町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
北部,56,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
宮古島市,36,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
宮古,36,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
石垣市,47,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
竹富町,16,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
与那国町,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2008
